Model,Test RMSE ($),Test MAE ($),Test R²,CV R² (mean),CV R² (std)
Linear Regression,4561.881421246323,2749.3452617709513,0.8659521279076272,0.8415854383010082,0.03426921867046992
XGBoost,4351.42968405444,2510.048251564599,0.8780348147561291,0.8564408616305995,0.032007401151649
